-0.1,0.465241,-1.02469
-0.09375,0.453094,-0.997088
-0.0875,0.438417,-0.965052
-0.08125,0.428543,-0.94365
-0.075,0.419117,-0.922784
-0.06875,0.409013,-0.901055
-0.0625,0.400657,-0.882423
-0.05625,0.392843,-0.865632
-0.05,0.38656,-0.851147
-0.04375,0.380612,-0.837818
-0.0375,0.375159,-0.826665
-0.03125,0.371013,-0.817541
-0.025,0.36783,-0.810163
-0.01875,0.364811,-0.803531
-0.0125,0.362588,-0.798966
-0.00625,0.361728,-0.797114
0,0.361316,-0.796282
0.00625,0.36157,-0.796888
0.0125,0.362868,-0.799564
0.01875,0.36484,-0.804036
0.025,0.367651,-0.81024
0.03125,0.370912,-0.817448
0.0375,0.375182,-0.826904
0.04375,0.380491,-0.837852
0.05,0.386357,-0.851457
0.05625,0.392735,-0.866285
0.0625,0.400891,-0.883424
0.06875,0.408591,-0.900586
0.075,0.418663,-0.922331
0.08125,0.427791,-0.943002
0.0875,0.43897,-0.968319
0.09375,0.452917,-0.998355
0.1,0.46417,-1.02329
